"null","Sourced","Placed","References","Value","LCSC","Quantity"
1,"","","C5, C6, C8, C10, C11","100nF","C38141",5
2,"","","C1, C2","10uF","C7171",2
3,"","","C4, C7","10U","C15850",2
4,"","","C3","1U","C215803",1
5,"","","C9","22uF","C11366",1
6,"","","R5, R6, R11, R12, R13, R14, R15, R16, R19, R20, R21, R22, R23, R24","10k","C17414",14
7,"","","R1, R2, R7, R8, R26, R27","100k","C149504",6
8,"","","R3, R25",220,"C17557",2
9,"","","R9, R10","4.7k","C17673",2
10,"","","R17, R18","47k","C17713",2
11,"","","R4","2k","C17604",1
12,"","","D1, D3, D4, D6, D8","30V","C124187",5
13,"","","D2, D5, D7","5.0V","C383211",3
14,"","","U1","AP2112","C3021085",1
15,"","","U2","CP2102","C6568",1
16,"","","U3","MCP73831","C14879",1
17,"","","U4","AT42QT2120","C1522278",1
18,"","","U5","BUZZER","C95299",1
19,"","","U6","ESP32-WROOM-32E","C701341",1
20,"","","T1, T2, T3","BC817","C52801",3
21,"","","S1, S2","SPST","C318884",2
22,"","","LED1","RED","C84256",1
23,"","","Q1","DMG3415U","C96616",1
24,"","","J2, J3, J4","2P","C295747",3
25,"","","J1","USB-A-MICRO-TOP","C437032",1
26,"","","P1, P2, P3","2P","C3195190",3
